,artist,track,track_pop,duration_ms,album_name
20699,A Great Big World,Say Something,76,229400,Is There Anybody Out There?
19899,Drake,Toosie Slide,76,247058,Toosie Slide
26,Queen,Bohemian Rhapsody - Remastered 2011,76,354320,A Night At The Opera (Deluxe Remastered Version)
24399,Zara Larsson,Never Forget You,76,213427,So Good
2899,Imagine Dragons,Radioactive,76,186813,Night Visions
15599,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",76,201160,Hands All Over
24049,Wisin,Escápate Conmigo (feat. Ozuna),75,232786,Victory
899,Alan Walker,Faded,75,212626,Faded
24999,Jonas Blue,Rise,75,194407,Blue
7149,Queen,Under Pressure - Remastered 2011,75,248440,Hot Space (Deluxe Remastered Version)
1599,Luis Fonsi,Despacito - Remix,75,228826,Despacito Feat. Justin Bieber (Remix)
14149,Rihanna,Umbrella,75,275986,Good Girl Gone Bad
6549,David Guetta,Titanium (feat. Sia),74,245040,Nothing but the Beat 2.0
21699,Sam Smith,How Do You Sleep?,74,202204,How Do You Sleep?
23299,KYLE,iSpy (feat. Lil Yachty),74,253106,iSpy (feat. Lil Yachty)
3749,Sia,Chandelier,74,216120,1000 Forms Of Fear (Deluxe Version)
15999,Queen,We Will Rock You - Remastered 2011,74,122066,News Of The World (Deluxe Remastered Version)
24599,Khalid,Talk (feat. Disclosure),74,197573,Free Spirit
1299,Ed Sheeran & Justin Bieber,I Don't Care (with Justin Bieber),74,219946,No.6 Collaborations Project
20399,Metallica,Nothing Else Matters (Remastered),74,388733,Metallica (Remastered)
8349,Elton John,Cold Heart - PNAU Remix,74,202735,The Lockdown Sessions
9799,Desiigner,Panda,73,246761,New English
23949,Enrique Iglesias,Bailando - Spanish Version,73,243413,SEX AND LOVE (Deluxe)
12499,Masked Wolf,Astronaut In The Ocean,73,132780,Astronomical
22749,Imagine Dragons,On Top Of The World,73,189840,Night Visions (Deluxe)
12649,Anuel AA,China,73,301714,Emmanuel
14749,Billie Eilish,ocean eyes,73,200560,Ocean Eyes
2999,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),72,217706,Nine Track Mind
13499,Wham!,Last Christmas,72,262960,LAST CHRISTMAS
4349,Major Lazer,Cold Water,72,185360,Cold Water
19849,Dire Straits,Sultans of Swing,72,350400,Dire Straits
13199,James Bay,Let It Go,72,260533,Chaos And The Calm
15849,Jonas Blue,Fast Car,72,212424,Fast Car
1149,Tom Odell,Another Love,72,244360,Long Way Down
23599,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,72,193613,Pretty Girl (Cheat Codes X CADE Remix)
7299,Maroon 5,Payphone,72,231386,Overexposed
24649,Becky G,Sin Pijama,72,190160,MALA SANTA
11799,The Script,Hall of Fame (feat. will.i.am),72,202533,#3
23449,Big Sean,Bounce Back,72,222360,I Decided.
3399,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,71,180560,Me 4 U
21299,Galantis,No Money,71,189126,No Money
6099,Kygo,It Ain’t Me (with Selena Gomez),70,220780,It Ain't Me
4799,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),70,245653,Fifty Shades Darker (Original Motion Picture Soundtrack)
18549,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),70,235613,Thrift Shop (feat. Wanz)
19649,Clean Bandit,Solo (feat. Demi Lovato),70,222706,What Is Love? (Deluxe Edition)
7249,Mariah Carey,All I Want for Christmas Is You,69,241106,Merry Christmas
16049,Creedence Clearwater Revival,Have You Ever Seen The Rain,69,160333,Pendulum
11049,Maroon 5,What Lovers Do (feat. SZA),69,199849,Red Pill Blues (Deluxe)
22849,DRAM,Broccoli,69,225205,Broccoli
2499,Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,69,235545,Red Pill Blues (Deluxe)
6399,Beyoncé,Halo,69,261640,I AM...SASHA FIERCE
7749,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",68,288876,Grateful
28,Hozier,Take Me to Church,66,241693,Hozier
24299,Luis Fonsi,Échame La Culpa,66,173720,Échame La Culpa
21149,Starley,Call on Me - Ryan Riback Remix,66,222040,Call On Me (Remixes)
10449,Clean Bandit,Rather Be (feat. Jess Glynne),65,227833,New Eyes
24899,Lizzo,Truth Hurts,64,173325,Cuz I Love You (Deluxe)
17349,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",63,211760,Toast to Our Differences (Deluxe Edition)
13299,Red Hot Chili Peppers,Californication,63,329733,Californication
23549,Cheat Codes,No Promises (feat. Demi Lovato),62,222786,No Promises (feat. Demi Lovato)
23749,Cardi B,Bodak Yellow,60,223962,Bodak Yellow
12,Glass Animals,Heat Waves,60,238805,Dreamland (+ Bonus Levels)
21799,Robin Thicke,Blurred Lines,60,263053,Blurred Lines
8,The Chainsmokers,Closer,55,245506,Collage EP
40,Avicii,Wake Me Up,55,249693,Wake Me Up
23849,Jonas Blue,Mama,54,181614,Jonas Blue: Electronic Nature - The Mix 2017
16249,Carly Rae Jepsen,Call Me Maybe,54,193466,Call Me Maybe
949,The Chainsmokers,Don't Let Me Down,53,208666,Collage EP
22099,George Ezra,Budapest,52,202120,Did You Hear the Rain?
5849,Future,Mask Off,51,204600,FUTURE
12699,Red Hot Chili Peppers,Under the Bridge,50,264306,Blood Sugar Sex Magik
21549,Felix Jaehn,Ain't Nobody (Loves Me Better),49,186146,Ain't Nobody (Loves Me Better)
7549,Bruno Mars,Locked out of Heaven,48,233478,Unorthodox Jukebox
23049,Eminem,Rap God,47,363521,The Marshall Mathers LP2
11449,Milky Chance,Stolen Dance,45,313684,Sadnecessary
13649,JAY-Z,Ni**as In Paris,44,219333,Watch The Throne (Deluxe)
20749,Jonas Blue,Perfect Strangers,42,195313,Jonas Blue: Electronic Nature - The Mix 2017
1249,Sam Smith,Too Good At Goodbyes,38,201000,The Thrill Of It All (Special Edition)
7,The Kid LAROI,STAY (with Justin Bieber),32,141805,F*CK LOVE 3: OVER YOU
19349,GAYLE,abcdefu,30,168551,a study of the human experience volume one
16899,Rihanna,Diamonds,23,225146,Unapologetic (Deluxe Version)
21099,Kygo,Stole the Show,22,222801,Stole the Show
18299,Kygo,Firestone,21,273684,Firestone
8949,Bad Bunny,MIA (feat. Drake),19,210367,MIA (feat. Drake)
20949,BlocBoy JB,Look Alive (feat. Drake),15,181263,Look Alive (feat. Drake)
2299,Lauv,I Like Me Better,14,197436,I met you when I was 18. (the playlist)
21999,Avicii,Hey Brother,13,255093,True
23099,Avicii,Levels - Radio Edit,12,199903,Levels
14199,Snow Patrol,Chasing Cars,12,267933,Eyes Open
2199,J. Cole,No Role Modelz,11,292986,2014 Forest Hills Drive
14549,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,9,173381,Mercury - Act 1
699,The Killers,Mr. Brightside,9,222586,Hot Fuss
15199,21 Savage,Bank Account,7,220306,Issa Album
23399,Migos,Bad and Boujee (feat. Lil Uzi Vert),6,343150,Culture
11399,Juice WRLD,Robbery,6,240050,Death Race For Love
15649,BTS,Boy With Luv (feat. Halsey),5,229773,MAP OF THE SOUL : PERSONA
15699,Black Eyed Peas,I Gotta Feeling,4,289133,THE E.N.D. (THE ENERGY NEVER DIES)
22549,Ariana Grande,Dangerous Woman,4,235946,Dangerous Woman
22049,Drake,"Hold On, We're Going Home",3,227880,Nothing Was The Same (Deluxe)
4249,Adele,Hello,3,295493,25
21349,Mr. Probz,Waves - Robin Schulz Radio Edit,3,208133,Waves (Robin Schulz Radio Edit)
6799,Ariana Grande,Side To Side,3,226160,Dangerous Woman
8849,Alessia Cara,Scars To Your Beautiful,3,230226,Know-It-All (Deluxe)
16849,Adele,Set Fire to the Rain,2,241693,21
14649,Adele,When We Were Young,2,290906,25
12849,Radiohead,Creep,2,238640,Pablo Honey
3599,The Weeknd,Can't Feel My Face,2,213520,Beauty Behind The Madness
6,Drake,One Dance,2,173986,Views
22299,Adele,Send My Love (To Your New Lover),2,223080,25
11199,Ariana Grande,Into You,2,244453,Dangerous Woman
3199,Adele,Someone Like You,2,285040,21
6449,Childish Gambino,Redbone,1,326933,"""Awaken, My Love!"""
2249,Wiz Khalifa,See You Again (feat. Charlie Puth),1,229525,See You Again (feat. Charlie Puth)
9,Imagine Dragons,Believer,1,204346,Evolve
20199,Drake,Too Good,1,263373,Views
6599,Adele,Rolling in the Deep,1,228293,21
20,Juice WRLD,Lucid Dreams,1,239835,Goodbye & Good Riddance
41,The Weeknd,The Hills,1,242253,Beauty Behind The Madness
24199,Shaggy,It Wasn't Me,0,227600,Hot Shot
749,SAINt JHN,Roses - Imanbek Remix,0,176218,Roses (Imanbek Remix)
1849,Oasis,Wonderwall - Remastered,0,258732,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered]
7499,Rihanna,Work,0,219320,ANTI (Deluxe)
1049,Arctic Monkeys,Do I Wanna Know?,0,272394,AM
9299,Pharrell Williams,"Happy - From ""Despicable Me 2""",0,233293,"Happy (From ""Despicable Me 2"")"
9899,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) [Remix],0,166138,Peace Is The Mission (Extended)
9499,Rihanna,Needed Me,0,191600,ANTI
599,Major Lazer,Lean On (feat. MØ & DJ Snake),0,176561,Peace Is The Mission
17899,The Lumineers,Ho Hey,0,163133,The Lumineers
14899,Calvin Harris,We Found Love (feat. Rihanna),0,215520,18 Months
10399,Kanye West,Stronger,0,311866,Graduation
17149,Imagine Dragons,Whatever It Takes,0,201240,Evolve
20099,One Direction,Drag Me Down,0,192106,Drag Me Down
20499,Liam Payne,Strip That Down,0,204502,Strip That Down
19749,DJ Snake,Middle,0,220573,Middle
33,Imagine Dragons,Thunder,0,187146,Evolve
19549,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),0,195561,This Girl (Kungs Vs. Cookin' On 3 Burners)
15499,P!nk,Just Give Me a Reason,0,242733,The Truth About Love
20899,Post Malone,Candy Paint,0,229573,Candy Paint
20999,Guns N' Roses,Welcome To The Jungle,0,273600,Appetite For Destruction
21049,Drake,Fake Love,0,207813,Fake Love
21199,Ed Sheeran,I See Fire,0,299146,x (Deluxe Edition)
37,OneRepublic,Counting Stars,0,257279,Native (Deluxe)
4899,Sam Smith,I'm Not The Only One,0,239316,In The Lonely Hour
21949,Iggy Azalea,Fancy,0,199938,Fancy
11749,Travis Scott,BUTTERFLY EFFECT,0,190677,BUTTERFLY EFFECT
22349,Justin Timberlake,Mirrors,0,485360,Mirrors
46,Passenger,Let Her Go,0,252733,All the Little Lights
11099,Shawn Mendes,Mercy,0,208733,Illuminate (Deluxe)
22899,M83,Midnight City,0,243960,Hurry Up We're Dreaming
23149,Edward Sharpe & The Magnetic Zeros,Home,0,303200,Up From Below
23199,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0,233786,LONG.LIVE.A$AP (Deluxe Version)
349,Shawn Mendes,Treat You Better,0,187973,Illuminate (Deluxe)
22499,Of Monsters and Men,Little Talks,0,267693,Into The Woods
