,artist,track,track_pop,duration_ms,album_nm,album_dt
26799,Oscar Maydon,Fin de Semana,91,224920,Fin de Semana,2023-01-13
28799,Beyoncé,CUFF IT,91,225388,RENAISSANCE,2022-07-29
27199,RAYE,Escapism.,91,272373,My 21st Century Blues,2023-02-03
25010,Drake,Search & Rescue,91,272112,Search & Rescue,2023-04-07
37749,Feid,CHORRITO PA LAS ANIMAS,91,168133,SIXDO,2022-12-02
17749,Miley Cyrus,Flowers,91,200600,Endless Summer Vacation,2023-03-10
4,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,91,158040,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14
16,Billie Eilish,lovely (with Khalid),91,200185,lovely (with Khalid),2018-04-19
25013,Kaliii,Area Codes,91,139325,Area Codes,2023-03-17
17199,One Direction,Night Changes,91,226600,FOUR (Deluxe),2014-11-17
25549,JVKE,golden hour,91,209259,this is what ____ feels like (Vol. 1-4),2022-09-23
25027,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],91,182666,HEROES & VILLAINS,2022-12-02
25040,Metro Boomin,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),91,189466,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02
40499,Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",91,191254,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023-06-21
25044,Taylor Swift,Karma,91,204852,Midnights,2022-10-21
40249,YOASOBI,アイドル,91,213233,アイドル,2023-04-12
46649,Rosa Linn,SNAP,91,179551,SNAP,2022-03-19
25031,Drake,Jimmy Cooks (feat. 21 Savage),91,218364,"Honestly, Nevermind",2022-06-17
25049,Peso Pluma,Bye,91,212976,Bye,2023-05-26
25199,Post Malone,Chemical,91,184013,Chemical,2023-04-14
25649,Becky G,Chanel,91,201993,Chanel,2023-03-30
7449,Coldplay,Viva La Vida,91,242373,Viva La Vida or Death and All His Friends,2008-05-26
4849,Bruno Mars,When I Was Your Man,91,213826,Unorthodox Jukebox,2012-12-07
48399,Sebastian Yatra,VAGABUNDO,91,215600,VAGABUNDO,2023-05-12
26399,Sabrina Carpenter,Nonsense,91,163648,emails i can't send,2022-07-15
17299,Bad Bunny,Ojitos Lindos,91,258298,Un Verano Sin Ti,2022-05-06
25003,Morgan Wallen,Last Night,91,163854,3 Songs At A Time Sampler,2023-01-31
26299,Bad Bunny,Tití Me Preguntó,91,243716,Un Verano Sin Ti,2022-05-06
15349,Tears For Fears,Everybody Wants To Rule The World,91,251488,Songs From The Big Chair (Super Deluxe Edition),1985-02-25
25999,Coi Leray,Players,91,139560,Players,2022-11-30
6649,a-ha,Take on Me,90,225280,Hunting High and Low,1985-06-01
26649,Lizzy McAlpine,ceilings,90,182887,five seconds flat,2022-04-08
29,Post Malone,Circles,90,215280,Hollywood's Bleeding,2019-09-06
18649,Bad Bunny,Efecto,90,213061,Un Verano Sin Ti,2022-05-06
27949,Harry Styles,Late Night Talking,90,177954,Harry's House,2022-05-20
25030,Drake,Rich Flex,90,239359,Her Loss,2022-11-04
27349,Peso Pluma,Las Morras,90,155550,Las Morras,2023-04-04
6999,The Weeknd,Save Your Tears,90,215626,After Hours,2020-03-20
10149,Eminem,The Real Slim Shady,90,284200,The Marshall Mathers LP,2000-05-23
5249,The Police,Every Breath You Take,90,253920,Synchronicity (Remastered 2003),1983-06-17
25034,Lil Uzi Vert,Just Wanna Rock,90,123890,Just Wanna Rock,2022-10-17
25025,Gunna,fukumean,90,125040,a Gift & a Curse,2023-06-16
28749,Kodak Black,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",90,175802,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) [Trailer Version]",2023-05-17
28349,Eden Muñoz,Abcdario,90,220650,Abcdario,2023-05-13
49,Calvin Harris,One Kiss (with Dua Lipa),90,214846,One Kiss (with Dua Lipa),2018-04-06
43449,Feid,Feliz Cumpleaños Ferxxo,90,155960,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022-09-14
1,Ed Sheeran,Shape of You,90,233712,÷ (Deluxe),2017-03-03
16349,Justin Bieber,Ghost,90,153190,Justice,2021-03-19
33399,(G)I-DLE,Queencard,90,161240,I feel,2023-05-15
30599,Doechii,What It Is (Solo Version),90,189824,What It Is (Versions),2023-03-17
25009,Zach Bryan,Something in the Orange,90,228013,Something in the Orange,2022-04-22
17099,Manuel Turizo,La Bachata,90,162637,La Bachata,2022-05-26
39049,Yandel,Yandel 150,90,216148,Yandel 150,2022-12-20
10549,The Weeknd,Call Out My Name,90,228373,"My Dear Melancholy,",2018-03-30
13849,Arctic Monkeys,Why'd You Only Call Me When You're High?,90,161123,AM,2013-09-09
44749,Feid,Niña Bonita,90,187653,Niña Bonita,2023-04-21
29199,Fuerza Regida,SABOR FRESA,90,156500,SABOR FRESA,2023-06-22
35049,KAROL G,MIENTRAS ME CURO DEL CORA,90,164386,MAÑANA SERÁ BONITO,2023-02-24
34599,Meghan Trainor,Made You Look,89,134256,Takin' It Back,2022-10-21
36749,J Hus,Who Told You (feat. Drake),89,208917,Who Told You (feat. Drake),2023-06-08
46849,Agust D,Haegeum,89,168926,D-DAY,2023-04-21
40949,IVE,I AM,89,183853,I've IVE,2023-04-10
5049,Guns N' Roses,Sweet Child O' Mine,89,356066,Appetite For Destruction,1987-07-21
13749,Olivia Rodrigo,traitor,89,229226,SOUR,2021-05-21
13549,Ed Sheeran,Shivers,89,207853,=,2021-10-29
36149,NewJeans,Ditto,89,185506,Ditto,2022-12-19
15049,Coldplay,A Sky Full of Stars,89,267866,Ghost Stories,2014-05-19
33749,ENHYPEN,Bite Me,89,157531,DARK BLOOD,2023-05-22
25047,Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,89,163139,Watch This (ARIZONATEARS Pluggnb Remix),2023-02-05
13149,Conan Gray,Heather,89,198040,Kid Krow,2020-03-20
25,The Chainsmokers,Something Just Like This,89,247160,Memories...Do Not Open,2017-04-07
24,Ed Sheeran,Photograph,89,258986,x (Deluxe Edition),2014-06-21
35849,Kordhell,Murder In My Mind,89,145000,Murder In My Mind,2022-01-21
149,Olivia Rodrigo,good 4 u,89,178146,SOUR,2021-05-21
8749,Alec Benjamin,Let Me Down Slowly,89,169353,Narrated For You,2018-11-16
32049,Bad Bunny,Moscow Mule,89,245939,Un Verano Sin Ti,2022-05-06
25949,Dominic Fike,Mona Lisa (Spider-Man: Across the Spider-Verse),89,186066,Mona Lisa (Spider-Man: Across the Spider-Verse),2023-06-02
2049,Shawn Mendes,There's Nothing Holdin' Me Back,89,199440,Illuminate (Deluxe),2017-04-20
9699,J Balvin,LA CANCIÓN,89,242573,OASIS,2019-06-28
12149,Coolio,Gangsta's Paradise,89,240693,Gangsta's Paradise,1995-11-07
3349,Coldplay,The Scientist,89,309600,A Rush of Blood to the Head,2002-08-08
15,James Arthur,Say You Won't Let Go,89,211466,Back from the Edge,2016-10-28
7349,Avicii,The Nights,89,176658,The Days / Nights,2014-01-01
38999,Ed Sheeran,Eyes Closed,89,194848,Eyes Closed,2023-03-24
19399,XXXTENTACION,Revenge,89,120026,17,2017-08-25
38899,LE SSERAFIM,UNFORGIVEN (feat. Nile Rodgers),89,182148,UNFORGIVEN,2023-05-01
27049,Fuerza Regida,Igualito a Mi Apá,89,166821,Pa Que Hablen,2022-12-30
31899,Øneheart,snowfall,89,124065,snowfall,2022-01-14
4199,Linkin Park,In the End,89,216880,Hybrid Theory (Bonus Edition),2000-10-24
26699,Taylor Swift,Lavender Haze,89,202395,Midnights,2022-10-21
31199,Harry Styles,Satellite,89,218577,Harry's House,2022-05-20
11249,Bon Jovi,Livin' On A Prayer,89,249293,Slippery When Wet,1986-08-16
31599,Stray Kids,S-Class,89,195688,5-STAR,2023-06-02
10199,Shakira,Hips Don't Lie (feat. Wyclef Jean),89,218093,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28
26549,Taylor Swift,Hits Different,89,234466,Midnights (The Til Dawn Edition),2023-05-26
37249,Mae Stephens,If We Ever Broke Up,88,142758,If We Ever Broke Up,2023-02-10
8899,Tame Impala,The Less I Know The Better,88,216320,Currents,2015-07-17
45599,Peggy Gou,(It Goes Like) Nanana - Edit,88,231545,(It Goes Like) Nanana [Edit],2023-06-15
25011,Morgan Wallen,Thinkin’ Bout Me,88,177387,One Thing At A Time,2023-03-03
42449,Imagine Dragons,Bones,88,165264,Mercury - Acts 1 & 2,2022-07-01
38399,The Weeknd,Is There Someone Else?,88,199111,Dawn FM,2022-01-06
42199,Tiago PZK,Me Enteré,88,182075,Me Enteré,2023-05-18
